seed,fluo_noise,model,z_lreg,beta,lr,time,ram,latent_dim,num_epochs,last_train_loss,last_val_loss,mae_xcal,mae_xrna,ari_train,ari_val,ari_cal_train,ari_cal_val,ari_rna_train,ari_rna_val,sil_train,sil_val,sil_cal_train,sil_cal_val,sil_rna_train,sil_rna_val,ba,ba_cal,ba_rna,prec,prec_cal,prec_rna,recall,recall_cal,recall_rna,f1,f1_cal,f1_rna,med_entropy_tr,med_entropy_val,med_entropy_tr_cal,med_entropy_val_cal,med_entropy_tr_rna,med_entropy_val_rna,kbet_train,kbet_val,kbet_train_cal,kbet_val_cal,kbet_train_rna,kbet_val_rna
1,1.0,hybrid_z,1000000000.0,1.0,0.0001,316.86030101776123,3259.4453125,8,801,3481.156008588174,3481.156008588174,0.0967872664332389,0.000339346617693,0.3923581811397749,0.3825682956113719,0.333343661200903,0.3128874102446703,0.015462755937134,0.0609825741167387,0.09859231,0.11102108,0.19274187,0.18875483,0.8696295,0.8637507,,0.9134102666136092,1.0,,0.9396253102069836,1.0,,0.9134102666136092,1.0,,0.9236219103836416,1.0,0.0,0.4021791902022729,0.1943918578315762,0.3274449191544763,0.0,0.0,1.0,0.995,1.0,1.0,0.628,0.528
2,1.0,hybrid_z,1000000000.0,1.0,0.0001,250.90707302093503,3267.38671875,8,635,4099.526281533023,4099.526281533023,0.0971627309918403,0.0005077663226984,0.3721436615476954,0.3278741086118285,0.3085231834368696,0.2812327183450429,0.6535763635499992,0.6831888160644687,0.12898377,0.13497922,0.24425076,0.253298,0.96843857,0.96846926,,0.9233136512503524,1.0,,0.9569319755366776,1.0,,0.9233136512503524,1.0,,0.9360306751608872,1.0,0.0,0.4021791902022729,0.2422921890824148,0.1943918578315762,0.0,0.0,1.0,0.999,0.999,0.99,0.755,0.644
1,1.0,hybrid_z,1000000000.0,1.0,0.0001,105.29414772987366,3261.5625,64,262,3161.9042829191985,3161.9042829191985,0.0936171263456344,0.0005919272080063,0.415104222055677,0.3879435935503911,0.3645157694585213,0.400127990124292,0.6371846240041744,0.6121676195174792,0.15790111,0.16311575,0.16234119,0.16572133,0.9368029,0.9338241,,0.9489751703838452,1.0,,0.9721795543009484,1.0,,0.9489751703838452,1.0,,0.9585969609725914,1.0,0.0,0.0807931358959111,0.1414405425418206,0.2863969571159562,0.0,0.0,0.989,0.971,1.0,0.997,0.733,0.531
2,1.0,hybrid_z,1000000000.0,1.0,0.0001,220.9081768989563,3260.984375,64,552,1955.5244206464604,1955.5244206464604,0.0881611183285713,0.0003493937547318,0.455171845903423,0.3655722933270456,0.4223095254018522,0.3570096499459851,0.5282503843720034,0.0439284596028939,0.15859477,0.16612682,0.15229322,0.16215824,0.96871066,0.9685168,,0.9468320277815104,1.0,,0.971579893129049,1.0,,0.9468320277815104,1.0,,0.9570451798811376,1.0,0.0,0.0807931358959111,0.2863969571159562,0.2422921890824148,0.0,0.0,0.937,0.886,0.994,0.959,0.481,0.233
3,1.0,hybrid_z,1000000000.0,1.0,0.0001,102.96457576751708,3264.48828125,64,253,3257.7441851731287,3257.7441851731287,0.0934203043580055,0.000469729071483,0.3850365091981206,0.2976074178713659,0.3702774722254305,0.3566506368095603,0.6374440060193806,0.6406999308727911,0.19152428,0.19272988,0.15022159,0.15122785,0.93036634,0.93129045,,0.9413381776510268,1.0,,0.9693367605999716,1.0,,0.9413381776510268,1.0,,0.9526448288657337,1.0,0.0,0.0,0.2422921890824148,0.2863969571159562,0.0,0.0,0.999,0.992,0.999,0.993,0.694,0.315
4,1.0,hybrid_z,1000000000.0,1.0,0.0001,99.8073070049286,3271.546875,64,246,3330.9242064742475,3330.9242064742475,0.0940062925219535,0.0005533769144676,0.3624202429323376,0.3512351837992616,0.4025236221579443,0.3817366085003296,0.6379168814198326,0.6043938279945434,0.18387035,0.18726473,0.19359097,0.19692442,0.750043,0.73490804,,0.9423318426856164,1.0,,0.9695114767547226,1.0,,0.9423318426856164,1.0,,0.9533370035638188,1.0,0.0,0.0807931358959111,0.1943918578315762,0.3274449191544763,0.0,0.0,1.0,0.992,0.995,0.976,0.702,0.446
1,1.0,hybrid_z,100000000.0,1.0,0.0001,680.2894704341888,3266.34375,64,1715,747.7450966218171,747.7450966218171,0.0850337743759155,0.0002746130921877,0.445091483616525,0.4277056773823926,0.449647437208307,0.4460300756672358,0.0161246085715948,0.0275517017878455,0.19324951,0.19950671,0.116720796,0.12248095,0.7856616,0.7788536,,0.9494072094947544,1.0,,0.9749561112715308,1.0,,0.9494072094947544,1.0,,0.9598864445942604,1.0,0.0,0.1943918578315762,0.2863969571159562,0.4689955935892811,0.0,0.0,0.821,0.699,0.908,0.836,0.677,0.611
2,1.0,hybrid_z,100000000.0,1.0,0.0001,632.4117519855499,3278.96875,64,1557,797.7927328842352,797.7927328842352,0.0845752656459808,0.0002792524173855,0.4624423359298014,0.3921833546128281,0.4495473021453702,0.4014496910552546,0.4970603093276977,0.5548329106696551,0.1566607,0.16812429,0.15436211,0.16932228,0.95779806,0.95955455,,0.9451141270983024,1.0,,0.9722126799724192,1.0,,0.9451141270983024,1.0,,0.9561078919270184,1.0,0.0,0.2863969571159562,0.2422921890824148,0.2422921890824148,0.0,0.0,0.92,0.853,0.842,0.748,0.678,0.569
3,1.0,hybrid_z,100000000.0,1.0,0.0001,753.2627947330475,3277.546875,64,1856,733.9999757803458,733.9999757803458,0.0847826451063156,0.0002805317635647,0.4467213918735672,0.4302954963088294,0.438883661419127,0.4496993954648062,0.6360671985592277,0.6350042611465405,0.13720629,0.14349867,0.117905326,0.1168102,0.9135967,0.9130486,,0.940405776718626,1.0,,0.967157976863986,1.0,,0.940405776718626,1.0,,0.951266279813604,1.0,0.0,0.3659236509002231,0.2863969571159562,0.3659236509002231,0.0,0.0,0.861,0.771,0.948,0.882,0.516,0.403
2,1.0,hybrid_z,10000000.0,1.0,0.0001,435.7986767292023,3267.765625,64,1071,1328.898140424262,1328.898140424262,0.0861513018608093,0.0002972049987874,0.4447461756290369,0.3724539461402494,0.4515439560725531,0.4028579345428296,0.4940572831241426,0.0434486781152373,0.17144603,0.18240002,0.10530941,0.11884623,0.7115704,0.721522,,0.9464223137381994,1.0,,0.9721308243483936,1.0,,0.9464223137381994,1.0,,0.956962833708164,1.0,0.0,0.1414405425418206,0.3274449191544763,0.499915958164528,0.0,0.0,0.88,0.845,0.896,0.775,0.706,0.567
3,1.0,hybrid_z,10000000.0,1.0,0.0001,538.1468801498413,3258.96484375,64,1326,1038.0827958719135,1038.0827958719135,0.0851741284132003,0.0002853204205166,0.4362441603456899,0.4166554988048936,0.4425834870994824,0.4240092534322896,0.6320366987205686,0.6407210314017278,0.1822511,0.18068093,0.14533085,0.15207031,0.9677629,0.96755373,,0.9404044744826868,1.0,,0.9655004188072668,1.0,,0.9404044744826868,1.0,,0.9506774538762516,1.0,0.0,0.1943918578315762,0.1943918578315762,0.3659236509002231,0.0,0.0,0.806,0.719,0.948,0.853,0.727,0.482
1,1.0,hybrid_z,10000000.0,1.0,0.0001,380.8287765979767,3277.00390625,8,959,3261.157998807177,3261.157998807177,0.0974151417613029,0.0002867682196665,0.3154417978124039,0.3251633186111181,0.3475702924452094,0.339741610307662,0.0218322084877986,0.0293029158820597,0.2499744,0.25300422,0.10892069,0.115624346,0.34167513,0.33614376,,0.8619319222582255,1.0,,0.9105923097715908,1.0,,0.8619319222582255,1.0,,0.8758904832345015,1.0,0.0,0.0403965679479555,0.2863969571159562,0.4364698170641029,0.0,0.0,0.998,0.989,1.0,0.999,0.568,0.461
2,1.0,hybrid_z,10000000.0,1.0,0.0001,241.8727304935456,3287.25,8,594,4688.236146639506,4688.236146639506,0.0991951525211334,0.0005228105583228,0.2736677796428496,0.2044911924900031,0.3085804293773921,0.3133695290542811,0.6627911252634128,0.8967678406557006,0.13123651,0.13744402,0.22530288,0.23500143,0.94397163,0.9459233,,0.937279498752414,1.0,,0.96397173256441,1.0,,0.937279498752414,1.0,,0.9480246334252352,1.0,0.0,0.5293608652873644,0.2422921890824148,0.2422921890824148,0.0,0.0,1.0,0.999,0.986,0.988,0.711,0.534
3,1.0,hybrid_z,10000000.0,1.0,0.0001,398.7590458393097,3260.77734375,8,997,3092.405171293885,3092.405171293885,0.0965543240308761,0.0003070838865824,0.3652185848854695,0.3363985350717281,0.3776027686141495,0.3445538536383444,0.5161098694960229,0.5310856561369331,0.10298884,0.10700267,0.17729749,0.18024471,0.96522355,0.9655562,,0.8789506582802673,1.0,,0.9349238985371672,1.0,,0.8789506582802673,1.0,,0.8957030970877895,1.0,0.0807931358959111,0.4689955935892811,0.2863969571159562,0.3274449191544763,0.0,0.0,1.0,0.992,0.997,0.991,0.613,0.449
1,1.0,hybrid_z,100000000.0,1.0,0.0001,307.1579251289368,3272.12109375,8,775,3391.3758423665363,3391.3758423665363,0.0970212370157241,0.0003061569586861,0.3936371520153005,0.315112723891735,0.3793128190530261,0.3585098008035864,0.5474964461406117,0.034347815938368,0.21060993,0.21587035,0.095558755,0.09654843,0.8789291,0.8783593,,0.8902835414574373,1.0,,0.921662901137244,1.0,,0.8902835414574373,1.0,,0.9014651548313428,1.0,0.0,0.1414405425418206,0.2863969571159562,0.5293608652873644,0.0,0.0,0.994,0.985,0.998,0.991,0.702,0.435
2,1.0,hybrid_z,100000000.0,1.0,0.0001,299.546334028244,3269.53125,8,746,3698.764064469853,3698.764064469853,0.0960546135902404,0.0003739177482202,0.3984045457291107,0.327791363089886,0.3279035539077677,0.2456607642148549,0.4398133260747381,0.035435430706156,0.10669074,0.11327056,0.24495216,0.26021793,0.83965063,0.8414577,,0.9387457744122384,0.9995112414467252,,0.9672474835395952,0.999554367201426,,0.9387457744122384,0.9995112414467252,,0.9501077330891116,0.9995324759878652,0.0807931358959111,0.6343095546405662,0.1943918578315762,0.1943918578315762,0.0,0.0,1.0,0.998,0.997,0.995,0.471,0.356
3,1.0,hybrid_z,100000000.0,1.0,0.0001,441.3129439353943,3282.6953125,8,1113,2564.599544370298,2564.599544370298,0.0955421403050422,0.0002928952162619,0.4038533832993379,0.390627726802894,0.3935542320757159,0.343421825531999,0.0288858708179969,0.5334056305470338,0.11902387,0.113055676,0.13580152,0.14891195,0.9384907,0.93910414,,0.866367152400672,1.0,,0.905506564436378,1.0,,0.866367152400672,1.0,,0.8787957111241949,1.0,0.0,0.4689955935892811,0.3274449191544763,0.4689955935892811,0.0,0.0,0.996,0.986,1.0,0.995,0.543,0.435
5,1.0,hybrid_z,10000000.0,1.0,0.0001,779.5612857341766,3271.66796875,64,1956,672.6317321301118,672.6317321301118,0.0848478823900222,0.0002791955485008,0.4458442141623304,0.4378835827155968,0.447507292716968,0.4460174381261672,0.5168582776595687,0.6144870434968271,0.18346716,0.18974908,0.095979996,0.099688485,0.91638964,0.91475165,,0.9467347377832056,1.0,,0.9707953728912382,1.0,,0.9467347377832056,1.0,,0.9567264160189576,1.0,0.0,0.1414405425418206,0.4021791902022729,0.5293608652873644,0.0,0.0,0.883,0.808,0.871,0.769,0.648,0.474
